"","cth","cth.low","cth.high","ctt","ctt.low","ctt.high","tau","tau.low","tau.high","Nd","Nd.low","Nd.high","tdiff","sim.time.new","sat"
"1",1598.547206,1538.5887144,1658.5056976,-11.5698303222656,-11.7406677246094,-11.4312805175781,3.13785,1.83125,3.563025,260.603749509,221.976547037307,282.15793741067,0,4,"ACTIVATE (remote sensing)"
"2",1621.03164035,1523.5990915,1722.211594925,-11.4143280029297,-12.199934387207,-11.2816223144531,10.8997,7.5902,13.60705,358.0821840944,294.262168188919,436.055030625221,0,4.5,"ACTIVATE (remote sensing)"
"3",1718.4641892,1658.5056976,1763.4330579,-11.3807434082031,-12.0966857910156,-10.82431640625,16.50955,14.697175,20.1208,240.516489232301,198.32831216482,282.228508488752,0,5,"ACTIVATE (remote sensing)"
"4",1838.3811724,1748.443435,1913.3292869,-12.3072265625,-12.574560546875,-11.5594543457031,12.63835,9.9999,15.0074,590.265747675191,544.632496089528,691.723887092084,0,5.5,"ACTIVATE (remote sensing)"
"5",1748.443435,1718.4641892,1808.4019266,-12.2359985351562,-12.7866271972656,-11.882177734375,9.14535,8.8746375,9.7266,427.043946996256,344.453460110918,551.440222412504,0,6,"ACTIVATE (remote sensing)"
"6",1838.3811724,1666.00050905,1913.3292869,-12.3518127441406,-12.5029052734375,-10.249380493164,NA,NA,NA,NA,NA,NA,0,6.5,"ACTIVATE (remote sensing)"
"7",1591.05239455,1527.346497225,1725.95900065,-7.91301574707029,-8.17711486816404,-7.47004547119138,NA,NA,NA,NA,NA,NA,0,7,"ACTIVATE (remote sensing)"
"8",1658.5056976,1598.547206,1763.4330579,-7.6372131347656,-7.9523986816406,-7.47250976562498,NA,NA,NA,NA,NA,NA,0,7.5,"ACTIVATE (remote sensing)"
"9",1733.4538121,1598.547206,1815.89673805,-6.88333740234373,-8.00760498046873,-5.99042358398435,NA,NA,NA,NA,NA,NA,0,8,"ACTIVATE (remote sensing)"
"10",1838.3811724,1763.4330579,1913.3292869,-7.09635009765623,-8.1247619628906,-6.86310424804685,NA,NA,NA,NA,NA,NA,0,8.5,"ACTIVATE (remote sensing)"
"11",1988.2774014,1905.83447545,2100.69957315,-7.98532714843748,-8.1898254394531,-7.7348693847656,NA,NA,NA,NA,NA,NA,0,9,"ACTIVATE (remote sensing)"
"12",2175.64768765,2153.1632533,2224.363962075,-8.06693115234373,-8.27733459472654,-7.93607177734373,NA,NA,NA,NA,NA,NA,0,9.5,"ACTIVATE (remote sensing)"
