"","fname","h","time.sim","T","qv","rh","u","v","theta","p","sat"
"1","202003011538",8035.4,4.25,-44.18,0.0116561395264551,5.26,21.84,-21.65,311.325213034784,341.54,"ACTIVATE (dropsonde)"
"2","202003011538",8026.5,4.25,-44.15,0.0114566497657999,5.16,21.79,-21.56,311.248772886741,341.99,"ACTIVATE (dropsonde)"
"3","202003011538",8017.5,4.25,-44.11,0.0112904832394006,5.07,21.73,-21.45,311.183487868682,342.45,"ACTIVATE (dropsonde)"
"4","202003011538",8008.4,4.25,-44.06,0.0111572953645816,4.99,21.67,-21.32,311.129353906425,342.92,"ACTIVATE (dropsonde)"
"5","202003011538",7999.3,4.25,-44.01,0.0110231565562052,4.91,21.61,-21.18,311.077972577546,343.38,"ACTIVATE (dropsonde)"
"6","202003011538",7990.2,4.25,-43.97,0.0108531361045885,4.82,21.54,-21.04,311.010586961961,343.85,"ACTIVATE (dropsonde)"
"7","202003011538",7981,4.25,-43.95,0.0106364218070381,4.72,21.46,-20.89,310.916242061054,344.32,"ACTIVATE (dropsonde)"
"8","202003011538",7971.8,4.25,-43.94,0.0103855915892704,4.61,21.39,-20.74,310.808529056974,344.79,"ACTIVATE (dropsonde)"
"9","202003011538",7962.7,4.25,-43.93,0.0101349205857613,4.5,21.31,-20.6,310.701017895681,345.26,"ACTIVATE (dropsonde)"
"10","202003011538",7953.7,4.25,-43.9,0.00995119953630096,4.41,21.24,-20.48,310.623376427512,345.72,"ACTIVATE (dropsonde)"
"11","202003011538",7944.8,4.25,-43.85,0.0098105145826674,4.33,21.16,-20.36,310.572995073257,346.18,"ACTIVATE (dropsonde)"
"12","202003011538",7935.9,4.25,-43.78,0.00973498855794583,4.27,21.07,-20.27,310.549842440712,346.64,"ACTIVATE (dropsonde)"
"13","202003011538",7927,4.25,-43.73,0.0096373013493003,4.21,20.99,-20.18,310.499750770539,347.1,"ACTIVATE (dropsonde)"
"14","202003011538",7918.1,4.25,-43.69,0.00950541363057993,4.14,20.91,-20.11,310.436279383449,347.56,"ACTIVATE (dropsonde)"
"15","202003011538",7909.1,4.25,-43.66,0.00938529297722767,4.08,20.83,-20.03,310.356892692604,348.03,"ACTIVATE (dropsonde)"
"16","202003011538",7900,4.25,-43.63,0.00924164752662621,4.01,20.76,-19.95,310.277682838222,348.5,"ACTIVATE (dropsonde)"
"17","202003011538",7890.8,4.25,-43.59,0.00913008898862139,3.95,20.68,-19.85,310.209620285976,348.98,"ACTIVATE (dropsonde)"
"18","202003011538",7881.6,4.25,-43.53,0.00903748501735731,3.89,20.61,-19.75,310.171285368802,349.45,"ACTIVATE (dropsonde)"
"19","202003011538",7872.6,4.25,-43.47,0.00896676907371478,3.84,20.54,-19.64,310.130559700476,349.93,"ACTIVATE (dropsonde)"
"20","202003011538",7863.6,4.25,-43.4,0.00890515288936986,3.79,20.47,-19.52,310.108544750624,350.39,"ACTIVATE (dropsonde)"
