"","n","lhf","shf"
"1",-9,147.061012575007,97.9521394715654
"2",-8,212.396484190096,145.130307234961
"3",-7,231.047269128046,152.572926194337
"4",-6,337.246654087928,221.390073262174
"5",-5,353.96564196037,221.927369917314
"6",-4,326.608551713812,191.051628196123
"7",-3,464.359453285156,260.905276876963
"8",-2,748.430962305844,381.54197191845
"9",-1,733.158433208348,370.514928409364
"10",0,693.576692569205,340.934829511666
"11",0,693.576692569205,340.934829511666
"12",1,605.967917940529,266.013707434338
"13",2,600.93080133929,250.398983494961
"14",3,585.967091072613,240.897707179244
"15",4,561.375810028034,231.42435468308
"16",5,442.213706546943,175.717792763803
"17",6,417.808714357596,165.834365108035
"18",7,447.892787871459,162.675983266586
"19",8,440.956379747042,143.426568049692
"20",9,427.272386665751,139.04228323087
"21",10,456.215095643195,127.718656181951
"22",11,446.61402284763,120.270837934535
"23",12,429.113071103903,108.594216929395
"24",13,407.2961391364,95.6320688795044
"25",14,389.979224425036,86.7017071105344
"26",15,375.797380963295,79.9730336572003
"27",16,372.920149070664,77.5261574073866
"28",17,362.421203783736,73.9515672297199
"29",18,352.044757064732,70.012064713766
"30",19,315.98119081378,59.2166335957263
"31",20,297.180890501015,53.00730099641
"32",21,283.210242536855,49.0833680949317
"33",22,273.015765132859,45.9752132329621
"34",23,258.344280819912,42.1447471604397
"35",24,257.276884472407,41.4092717604468
"36",25,251.017886357841,39.244731459412
"37",26,238.855708009889,36.3265278473893
"38",27,NA,NA
"39",28,NA,NA
"40",29,NA,NA
"41",30,NA,NA
