"","N","lhf","shf","sst"
"1",-33,0.0795970606262307,-5.1636776458715,NA
"2",-32,0.187053690148123,-5.07011953839656,NA
"3",-31,0.38358713107219,-4.95867350770623,NA
"4",-30,0.558892051559446,-4.70108024842688,NA
"5",-29,1.38187249932107,-5.61659130296298,NA
"6",-28,5.64057543049733,-4.92607351296914,NA
"7",-27,11.6935526681279,-3.48606974936869,NA
"8",-26,21.2244191041048,1.9247828974001,NA
"9",-25,26.9758627322904,6.22726687317189,NA
"10",-24,23.2316295829389,3.86685248189762,NA
"11",-23,26.1292141807236,1.43901647829077,NA
"12",-22,32.9345601154386,-2.46563485175425,NA
"13",-21,46.3957325316974,3.22588927720089,273.164708931831
"14",-20,71.0142079117238,25.6156595358329,273.597842819117
"15",-19,88.0449531186712,33.7878507333762,274.6759653858
"16",-18,113.5367794199,57.202204689659,276.534660216616
"17",-17,121.364843238252,59.2302185754602,277.583039786501
"18",-16,118.398126413257,53.8320034469994,278.009321908575
"19",-15,110.213287798579,45.2619647237493,277.900993372426
"20",-14,105.755554079132,38.128957279374,277.572432876292
"21",-13,105.403653403284,34.0436272862416,277.455223889361
"22",-12,122.55936870553,44.9787669042795,278.022178554964
"23",-11,135.840281820572,53.9674690909342,278.498413624807
"24",-10,146.407418847138,61.1232875469857,278.67938947912
"25",-9,150.597744861313,62.0303344681257,278.685966707491
"26",-8,151.781454755549,60.5780467566926,278.641252846471
"27",-7,151.01384157525,59.3275854494809,278.690358561337
"28",-6,143.124296915002,50.482623745537,278.728582159369
"29",-5,139.482108833523,48.0853699446487,278.887752874141
"30",-4,140.560284975966,48.2618924489662,279.08432723081
"31",-3,137.622213266562,47.5331118993917,279.122996187533
"32",-2,133.86926008331,42.5108644394587,279.077272229211
"33",-1,106.177126729471,27.4225728177942,278.016874597758
"34",0,73.1636471111112,24.089652,277.065573828125
"35",0,73.1636471111112,24.089652,277.065573828125
